Series	State	Date	Jobs
SMS12000003000000001	FL	1990-01-01	520.3
SMS12000003000000001	FL	1990-02-01	519.0
SMS12000003000000001	FL	1990-03-01	516.8
SMS12000003000000001	FL	1990-04-01	513.2
SMS12000003000000001	FL	1990-05-01	512.7
SMS12000003000000001	FL	1990-06-01	511.0
SMS12000003000000001	FL	1990-07-01	507.6
SMS12000003000000001	FL	1990-08-01	505.5
SMS12000003000000001	FL	1990-09-01	503.2
SMS12000003000000001	FL	1990-10-01	498.8
SMS12000003000000001	FL	1990-11-01	496.2
SMS12000003000000001	FL	1990-12-01	494.5
SMS12000003000000001	FL	1991-01-01	487.8
SMS12000003000000001	FL	1991-02-01	484.7
SMS12000003000000001	FL	1991-03-01	482.1
SMS12000003000000001	FL	1991-04-01	480.4
SMS12000003000000001	FL	1991-05-01	478.3
SMS12000003000000001	FL	1991-06-01	476.9
SMS12000003000000001	FL	1991-07-01	474.0
SMS12000003000000001	FL	1991-08-01	474.9
SMS12000003000000001	FL	1991-09-01	475.5
SMS12000003000000001	FL	1991-10-01	474.5
SMS12000003000000001	FL	1991-11-01	474.7
SMS12000003000000001	FL	1991-12-01	472.1
SMS12000003000000001	FL	1992-01-01	471.8
SMS12000003000000001	FL	1992-02-01	470.6
SMS12000003000000001	FL	1992-03-01	470.5
SMS12000003000000001	FL	1992-04-01	470.8
SMS12000003000000001	FL	1992-05-01	470.9
SMS12000003000000001	FL	1992-06-01	470.9
SMS12000003000000001	FL	1992-07-01	473.7
SMS12000003000000001	FL	1992-08-01	471.9
SMS12000003000000001	FL	1992-09-01	472.2
SMS12000003000000001	FL	1992-10-01	472.7
SMS12000003000000001	FL	1992-11-01	473.8
SMS12000003000000001	FL	1992-12-01	474.8
SMS12000003000000001	FL	1993-01-01	476.0
SMS12000003000000001	FL	1993-02-01	477.5
SMS12000003000000001	FL	1993-03-01	477.8
SMS12000003000000001	FL	1993-04-01	478.2
SMS12000003000000001	FL	1993-05-01	478.6
SMS12000003000000001	FL	1993-06-01	478.3
SMS12000003000000001	FL	1993-07-01	477.2
SMS12000003000000001	FL	1993-08-01	477.2
SMS12000003000000001	FL	1993-09-01	476.5
SMS12000003000000001	FL	1993-10-01	479.1
SMS12000003000000001	FL	1993-11-01	476.2
SMS12000003000000001	FL	1993-12-01	476.0
SMS12000003000000001	FL	1994-01-01	474.6
SMS12000003000000001	FL	1994-02-01	473.5
SMS12000003000000001	FL	1994-03-01	471.7
SMS12000003000000001	FL	1994-04-01	471.7
SMS12000003000000001	FL	1994-05-01	472.4
SMS12000003000000001	FL	1994-06-01	473.5
SMS12000003000000001	FL	1994-07-01	474.2
SMS12000003000000001	FL	1994-08-01	474.1
SMS12000003000000001	FL	1994-09-01	474.8
SMS12000003000000001	FL	1994-10-01	473.6
SMS12000003000000001	FL	1994-11-01	473.3
SMS12000003000000001	FL	1994-12-01	473.6
SMS12000003000000001	FL	1995-01-01	477.4
SMS12000003000000001	FL	1995-02-01	477.7
SMS12000003000000001	FL	1995-03-01	478.7
SMS12000003000000001	FL	1995-04-01	478.8
SMS12000003000000001	FL	1995-05-01	478.0
SMS12000003000000001	FL	1995-06-01	477.7
SMS12000003000000001	FL	1995-07-01	478.2
SMS12000003000000001	FL	1995-08-01	478.7
SMS12000003000000001	FL	1995-09-01	480.1
SMS12000003000000001	FL	1995-10-01	481.2
SMS12000003000000001	FL	1995-11-01	481.4
SMS12000003000000001	FL	1995-12-01	481.5
SMS12000003000000001	FL	1996-01-01	481.2
SMS12000003000000001	FL	1996-02-01	481.8
SMS12000003000000001	FL	1996-03-01	482.0
SMS12000003000000001	FL	1996-04-01	483.1
SMS12000003000000001	FL	1996-05-01	484.1
SMS12000003000000001	FL	1996-06-01	484.2
SMS12000003000000001	FL	1996-07-01	486.3
SMS12000003000000001	FL	1996-08-01	487.0
SMS12000003000000001	FL	1996-09-01	487.1
SMS12000003000000001	FL	1996-10-01	487.9
SMS12000003000000001	FL	1996-11-01	487.7
SMS12000003000000001	FL	1996-12-01	487.6
SMS12000003000000001	FL	1997-01-01	490.8
SMS12000003000000001	FL	1997-02-01	490.0
