Year,Deaths,Vehicle miles travelled (billions),Fatalities per 100 million VMT,Population,Fatalities per 100000 population,Change (in percent)
1899,26.00,,,,,
1900,36.00,,,76094000.00,0.047,NA
1901,54.00,,,77584000.00,0.07,-47.12%
1902,79.00,,,79163000.00,0.1,-43.38%
1903,117.00,,,80632000.00,0.145,-45.40%
1904,172.00,,,82166000.00,0.209,-44.26%
1905,252.00,,,83822000.00,0.301,-43.62%
1906,338.00,,,85450000.00,0.396,-31.57%
1907,581.00,,,87008000.00,0.668,-68.82%
1908,751.00,,,88710000.00,0.847,-26.78%
1909,1174.00,,,90490000.00,1.297,-53.25%
1910,1599.00,,,92407000.00,1.73,-33.38%
1911,2043.00,,,93863000.00,2.177,-25.79%
1912,2968.00,,,95335000.00,3.113,-43.03%
1913,4079.00,,,97225000.00,4.195,-34.76%
1914,4468.00,,,99111000.00,4.508,-7.45%
1915,6779.00,,,100546000.00,6.742,-49.56%
1916,7766.00,,,101961000.00,7.617,-12.97%
1917,9630.00,,,103268000.00,9.325,-22.43%
1918,10390.00,,,103208000.00,10.067,-7.95%
1919,10896.00,,,104514000.00,10.425,-3.56%
1920,12155.00,,,106461000.00,11.417,-9.51%
1921,13253.00,55.03,24.09,108538000.00,12.21,-6.95%
1922,14859.00,67.70,21.95,110049000.00,13.502,-10.58%
1923,17870.00,85.00,21.03,111947000.00,15.963,-18.22%
1924,18400.00,104.84,17.55,114109000.00,16.125,-1.01%
1925,20771.00,122.35,16.98,115829000.00,17.932,-11.21%
1926,22194.00,140.74,15.77,117397000.00,18.905,-5.42%
1927,24470.00,158.45,15.44,119035000.00,20.557,-8.74%
1928,26557.00,172.86,15.36,120509000.00,22.037,-7.20%
1929,29592.00,197.72,14.97,121767000.00,24.302,-10.28%
1930,31204.00,206.32,15.12,123076741.00,25.353,-4.33%
1931,31963.00,216.15,14.79,124039648.00,25.768,-1.64%
1932,27979.00,200.52,13.95,124840471.00,22.412,-13.03%
1933,29746.00,200.64,14.83,125578763.00,23.687,-5.69%
1934,34240.00,215.56,15.88,126373773.00,27.094,-14.38%
1935,34494.00,228.57,15.09,127250232.00,27.107,-0.05%
1936,36126.00,252.13,14.33,128053180.00,28.212,-4.07%
1937,37819.00,270.11,14.00,128824829.00,29.357,-4.06%
1938,31083.00,271.18,11.46,129824939.00,23.942,-18.44%
1939,30895.00,285.40,10.83,130879718.00,23.606,-1.41%
1940,32914.00,302.19,10.89,132122446.00,24.912,-5.53%
1941,38142.00,333.61,11.43,133402471.00,28.592,-14.77%
1942,27007.00,268.22,10.07,134859553.00,20.026,-29.96%
1943,22727.00,208.19,10.92,136739353.00,16.621,-17.00%
1944,23165.00,212.71,10.89,138397345.00,16.738,-0.71%
1945,26785.00,250.17,10.71,139928165.00,19.142,-14.36%
1946,31874.00,340.88,9.35,141388566.00,22.544,-17.77%
1947,31193.00,370.89,8.41,144126071.00,21.643,-4.00%
1948,30775.00,397.96,7.73,146631302.00,20.988,-3.03%
1949,30246.00,424.46,7.13,149188130.00,20.274,-3.40%
1950,33186.00,458.25,7.24,152271417.00,21.794,-7.50%
1951,35309.00,491.09,7.19,154877889.00,22.798,-4.61%
1952,36088.00,513.58,7.03,157552740.00,22.905,-0.47%
1953,36190.00,544.43,6.65,160184192.00,22.593,-1.36%
1954,33890.00,561.96,6.03,163025854.00,20.788,-7.99%
1955,36688.00,605.65,6.06,165931202.00,22.11,-6.36%
1956,37965.00,627.84,6.05,168903031.00,22.477,-1.66%
1957,36932.00,647.00,5.71,171984130.00,21.474,-4.46%
1958,35331.00,664.65,5.32,174881904.00,20.203,-5.92%
1959,36223.00,700.48,5.17,177829628.00,20.369,-0.83%
1960,36399.00,718.76,5.06,180671158.00,20.147,-1.09%
1961,36285.00,737.42,4.92,183691481.00,19.753,-1.95%
1962,38980.00,766.73,5.08,186537737.00,20.897,-5.79%
1963,41723.00,805.25,5.18,189241798.00,22.047,-5.51%
1964,45645.00,846.30,5.39,191888791.00,23.787,-7.89%
1965,47089.00,887.81,5.30,194302963.00,24.235,-1.88%
1966,50894.00,925.90,5.50,196560338.00,25.892,-6.84%
1967,50724.00,964.01,5.26,198712056.00,25.526,-1.41%
1968,52725.00,1015.87,5.19,200706052.00,26.27,-2.91%
1969,53543.00,1061.79,5.04,202676946.00,26.418,-0.56%
1970,52627.00,1109.72,4.74,205052174.00,25.665,-2.85%
1971,52542.00,1178.81,4.46,207660677.00,25.302,-1.42%
1972,54589.00,1259.79,4.33,209896021.00,26.008,-2.79%
1973,54052.00,1313.11,4.12,211908788.00,25.507,-1.92%
1974,45196.00,1280.54,3.53,213853928.00,21.134,-17.14%
1975,44525.00,1327.66,3.35,215973199.00,20.616,-2.45%
1976,45523.00,1402.38,3.25,218035164.00,20.879,-1.27%
1977,47878.00,1467.03,3.26,220239425.00,21.739,-4.12%
1978,50331.00,1544.70,3.26,222584545.00,22.612,-4.02%
1979,51093.00,1529.13,3.34,225055487.00,22.702,-0.40%
1980,51091.00,1527.30,3.35,227224681.00,22.485,-0.96%
1981,49301.00,1552.80,3.18,229465714.00,21.485,-4.45%
1982,43945.00,1595.01,2.76,231664458.00,18.969,-11.71%
1983,42589.00,1652.79,2.58,233791994.00,18.217,-3.97%
1984,44257.00,1720.27,2.57,235824902.00,18.767,-3.02%
1985,43825.00,1774.18,2.47,237923795.00,18.42,-1.85%
1986,46087.00,1834.87,2.51,240132887.00,19.192,-4.19%
1987,46390.00,1921.20,2.42,242288918.00,19.147,-0.24%
1988,47087.00,2025.96,2.32,244498982.00,19.259,-0.58%
1989,45582.00,2096.46,2.17,246819230.00,18.468,-4.11%
1990,44599.00,2144.36,2.08,249464396.00,17.878,-3.19%
1991,41508.00,2172.05,1.91,252153092.00,16.461,-7.92%
1992,39250.00,2247.15,1.75,255029699.00,15.39,-6.51%
1993,40150.00,2296.38,1.75,257782608.00,15.575,-1.20%
1994,40716.00,2358.00,1.73,260327021.00,15.6403,-0.42%
1995,41817.00,2423.00,1.73,262803276.00,15.9119,-1.74%
1996,42065.00,2486.00,1.69,265228572.00,15.8599,-0.33%
1997,42013.00,2562.00,1.64,267783607.00,15.6892,-1.08%
1998,41501.00,2632.00,1.58,270248003.00,15.3566,-2.12%
1999,41717.00,2691.00,1.55,272690813.00,15.2983,-0.38%
2000,41945.00,2747.00,1.53,282216952.00,14.8627,-2.85%
2001,42196.00,2797.00,1.51,285226284.00,14.794,-0.46%
2002,43005.00,2856.00,1.51,288125973.00,14.926,-0.89%
2003,42884.00,2890.00,1.48,290796023.00,14.747,-1.75%
2004,42836.00,2965.00,1.44,293638158.00,14.588,-0.52%
2005,43510.00,2989.00,1.46,296507061.00,14.674,-0.44%
2006,42708.00,3014.00,1.42,299398484.00,14.265,-2.79%
2007,41259.00,3031.00,1.36,301139947.00,13.701,-3.85%
2008,37423.00,2977.00,1.26,303824640.00,12.317,-11.00%
2009,33883.00,2957.00,1.15,306700000.00,11.048,-9.70%
2010,32999.00,2967.00,1.11,309326000.00,10.668,-3.50%
2011,32479.00,2950.00,1.10,311588000.00,10.424,-2.30%
2012,33561.00,2969.00,1.13,313914000.00,10.691,-2.60%
2013,32719.00,2946.00,1.11,316129000.00,10.345,-3.30%
2014,32675.00,2946.00,1.07,,,
2015,38300.00,,,,,
