International_data,,,,,,,,,,,,,,,,,,,,,,,
http://www.eia.gov/beta/international/data/browser/#?ord=CR&cy=2013&v=H&vo=0&so=0&io=0&start=1993&end=2013&vs=INTL.7-2-AFG-TST.A~INTL.7-2-ALB-TST.A~INTL.7-2-DZA-TST.A~INTL.7-2-ASM-TST.A~INTL.7-2-AGO-TST.A~INTL.7-2-ATA-TST.A~INTL.7-2-ATG-TST.A~INTL.7-2-ARG-TST.A~INTL.7-2-ARM-TST.A~INTL.7-2-ABW-TST.A~INTL.7-2-AUS-TST.A~INTL.7-2-AUT-TST.A~INTL.7-2-AZE-TST.A~INTL.7-2-BHS-TST.A~INTL.7-2-BHR-TST.A~INTL.7-2-BGD-TST.A~INTL.7-2-BRB-TST.A~INTL.7-2-BLR-TST.A~INTL.7-2-BEL-TST.A~INTL.7-2-BLZ-TST.A~INTL.7-2-BEN-TST.A~INTL.7-2-BMU-TST.A~INTL.7-2-BTN-TST.A~INTL.7-2-BOL-TST.A~INTL.7-2-BIH-TST.A~INTL.7-2-BWA-TST.A~INTL.7-2-BRA-TST.A~INTL.7-2-BRN-TST.A~INTL.7-2-BGR-TST.A~INTL.7-2-BFA-TST.A~INTL.7-2-MMR-TST.A~INTL.7-2-BDI-TST.A~INTL.7-2-KHM-TST.A~INTL.7-2-CMR-TST.A~INTL.7-2-CAN-TST.A~INTL.7-2-CPV-TST.A~INTL.7-2-CYM-TST.A~INTL.7-2-CAF-TST.A~INTL.7-2-TCD-TST.A~INTL.7-2-CHL-TST.A~INTL.7-2-CHN-TST.A~INTL.7-2-COL-TST.A~INTL.7-2-COM-TST.A~INTL.7-2-COG-TST.A~INTL.7-2-COD-TST.A~INTL.7-2-COK-TST.A~INTL.7-2-CRI-TST.A~INTL.7-2-CIV-TST.A~INTL.7-2-HRV-TST.A~INTL.7-2-CUB-TST.A~INTL.7-2-CYP-TST.A~INTL.7-2-CZE-TST.A~INTL.7-2-DNK-TST.A~INTL.7-2-DJI-TST.A~INTL.7-2-DMA-TST.A~INTL.7-2-DOM-TST.A~INTL.7-2-ECU-TST.A~INTL.7-2-EGY-TST.A~INTL.7-2-SLV-TST.A~INTL.7-2-GNQ-TST.A~INTL.7-2-ERI-TST.A~INTL.7-2-EST-TST.A~INTL.7-2-ETH-TST.A~INTL.7-2-FLK-TST.A~INTL.7-2-FRO-TST.A~INTL.7-2-FJI-TST.A~INTL.7-2-FIN-TST.A~INTL.7-2-CSK-TST.A~INTL.7-2-SCG-TST.A~INTL.7-2-SUN-TST.A~INTL.7-2-YUG-TST.A~INTL.7-2-FRA-TST.A~INTL.7-2-GUF-TST.A~INTL.7-2-PYF-TST.A~INTL.7-2-GAB-TST.A~INTL.7-2-GMB-TST.A~INTL.7-2-GEO-TST.A~INTL.7-2-DEU-TST.A~INTL.7-2-DDR-TST.A~INTL.7-2-DEUW-TST.A~INTL.7-2-GHA-TST.A~INTL.7-2-GIB-TST.A~INTL.7-2-GRC-TST.A~INTL.7-2-GRL-TST.A~INTL.7-2-GRD-TST.A~INTL.7-2-GLP-TST.A~INTL.7-2-GUM-TST.A~INTL.7-2-GTM-TST.A~INTL.7-2-GIN-TST.A~INTL.7-2-GNB-TST.A~INTL.7-2-GUY-TST.A~INTL.7-2-HTI-TST.A~INTL.7-2-HITZ-TST.A~INTL.7-2-HND-TST.A~INTL.7-2-HKG-TST.A~INTL.7-2-HUN-TST.A~INTL.7-2-ISL-TST.A~INTL.7-2-IND-TST.A~INTL.7-2-IDN-TST.A~INTL.7-2-IRN-TST.A~INTL.7-2-IRQ-TST.A~INTL.7-2-IRL-TST.A~INTL.7-2-ISR-TST.A~INTL.7-2-ITA-TST.A~INTL.7-2-JAM-TST.A~INTL.7-2-JPN-TST.A~INTL.7-2-JOR-TST.A~INTL.7-2-KAZ-TST.A~INTL.7-2-KEN-TST.A~INTL.7-2-KIR-TST.A~INTL.7-2-PRK-TST.A~INTL.7-2-KOR-TST.A~INTL.7-2-UNK-TST.A~INTL.7-2-KWT-TST.A~INTL.7-2-KGZ-TST.A~INTL.7-2-LAO-TST.A~INTL.7-2-LVA-TST.A~INTL.7-2-LBN-TST.A~INTL.7-2-LSO-TST.A~INTL.7-2-LBR-TST.A~INTL.7-2-LBY-TST.A~INTL.7-2-LTU-TST.A~INTL.7-2-LUX-TST.A~INTL.7-2-MAC-TST.A~INTL.7-2-MKD-TST.A~INTL.7-2-MDG-TST.A~INTL.7-2-MWI-TST.A~INTL.7-2-MYS-TST.A~INTL.7-2-MDV-TST.A~INTL.7-2-MLI-TST.A~INTL.7-2-MLT-TST.A~INTL.7-2-MTQ-TST.A~INTL.7-2-MRT-TST.A~INTL.7-2-MUS-TST.A~INTL.7-2-MEX-TST.A~INTL.7-2-FSM-TST.A~INTL.7-2-MDA-TST.A~INTL.7-2-MNG-TST.A~INTL.7-2-MNE-TST.A~INTL.7-2-MSR-TST.A~INTL.7-2-MAR-TST.A~INTL.7-2-MOZ-TST.A~INTL.7-2-NAM-TST.A~INTL.7-2-NRU-TST.A~INTL.7-2-NPL-TST.A~INTL.7-2-NLD-TST.A~INTL.7-2-NLDA-TST.A~INTL.7-2-NCL-TST.A~INTL.7-2-NZL-TST.A~INTL.7-2-NIC-TST.A~INTL.7-2-NER-TST.A~INTL.7-2-NGA-TST.A~INTL.7-2-NIU-TST.A~INTL.7-2-MNP-TST.A~INTL.7-2-NOR-TST.A~INTL.7-2-OMN-TST.A~INTL.7-2-PAK-TST.A~INTL.7-2-PSE-TST.A~INTL.7-2-PAN-TST.A~INTL.7-2-PNG-TST.A~INTL.7-2-PRY-TST.A~INTL.7-2-PER-TST.A~INTL.7-2-PHL-TST.A~INTL.7-2-POL-TST.A~INTL.7-2-PRT-TST.A~INTL.7-2-PRI-TST.A~INTL.7-2-QAT-TST.A~INTL.7-2-REU-TST.A~INTL.7-2-ROU-TST.A~INTL.7-2-RUS-TST.A~INTL.7-2-RWA-TST.A~INTL.7-2-SHN-TST.A~INTL.7-2-KNA-TST.A~INTL.7-2-LCA-TST.A~INTL.7-2-SPM-TST.A~INTL.7-2-VCT-TST.A~INTL.7-2-WSM-TST.A~INTL.7-2-STP-TST.A~INTL.7-2-SAU-TST.A~INTL.7-2-SEN-TST.A~INTL.7-2-SRB-TST.A~INTL.7-2-SYC-TST.A~INTL.7-2-SLE-TST.A~INTL.7-2-SGP-TST.A~INTL.7-2-SVK-TST.A~INTL.7-2-SVN-TST.A~INTL.7-2-SLB-TST.A~INTL.7-2-SOM-TST.A~INTL.7-2-ZAF-TST.A~INTL.7-2-ESP-TST.A~INTL.7-2-LKA-TST.A~INTL.7-2-SDN-TST.A~INTL.7-2-SUR-TST.A~INTL.7-2-SWZ-TST.A~INTL.7-2-SWE-TST.A~INTL.7-2-CHE-TST.A~INTL.7-2-SYR-TST.A~INTL.7-2-TWN-TST.A~INTL.7-2-TJK-TST.A~INTL.7-2-TZA-TST.A~INTL.7-2-THA-TST.A~INTL.7-2-TLS-TST.A~INTL.7-2-TGO-TST.A~INTL.7-2-TON-TST.A~INTL.7-2-TTO-TST.A~INTL.7-2-TUN-TST.A~INTL.7-2-TUR-TST.A~INTL.7-2-TKM-TST.A~INTL.7-2-TCA-TST.A~INTL.7-2-TUV-TST.A~INTL.7-2-USIQ-TST.A~INTL.7-2-USOH-TST.A~INTL.7-2-UGA-TST.A~INTL.7-2-UKR-TST.A~INTL.7-2-ARE-TST.A~INTL.7-2-GBR-TST.A~INTL.7-2-USA-TST.A~INTL.7-2-URY-TST.A~INTL.7-2-UZB-TST.A~INTL.7-2-VUT-TST.A~INTL.7-2-VEN-TST.A~INTL.7-2-VNM-TST.A~INTL.7-2-VIR-TST.A~INTL.7-2-VGB-TST.A~INTL.7-2-WAK-TST.A~INTL.7-2-ESH-TST.A~INTL.7-2-YEM-TST.A~INTL.7-2-ZMB-TST.A~INTL.7-2-ZWE-TST.A&c=ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvuvo&pa=000000000000000000000000000000000000004&f=A&ug=g&ct=0&tl_type=p&tl_id=1-A&s=,,,,,,,,,,,,,,,,,,,,,,,
Mon Apr 25 2016 06:44:17 GMT-0400 (EDT),,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
,Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,7.7,6.6,5.5,3.3,2.2,2.2,1.1,1.1,29,23,39,37,36,39,268,383,551,799,799,827,1499
,Albania,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,227,186,88,125,43,54,130,80,98,68,71,71,60,60,60,77,177,195,239,279,116
,Algeria,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,909,923,553,364,597,884,804,759,819,1074,1074,678,859,955,944,944,320,,,,43
,American Samoa,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Angola,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Antarctica,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Argentina,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,1195,2033,1581,1313,1285,1268,1293,1023,1287,931,1026,836,1470,1422,1559,1641,1345,1658,1961,1782,2074
,Armenia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,3.3,40,3.3,5.5,5.5,5.5,3.3,,,20,30,,,1.1,3.3,2.2,,1.1,,2.2,
,Aruba,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Australia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,109760,110536,112977,121146,127234,138201,141012,141231,141285,143589,148964,150279,155462,156989,154793,154021,157755,152337,147661,145564,132565
,Austria,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,4836,4798,5660,5969,5938,5064,5583,5627,6129,5955,6575,6110,5870,5504,4813,4527,3605,4238,4333,3943,3948
,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,7.7,8.8,6.6,6.6,6.6,1.1,,,,,,,,,,,,,,,5.5
,"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Bahrain,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,69,65,708,388,712,205,101,728,772,806,771,772,802,1066,1207,1458,1802,1792,1692,1994,2247
,Barbados,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Belarus,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,1773,1322,1240,1230,893,834,572,556,477,368,324,258,185,146,91,84,87,87,100,395,599
,Belgium,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,13849,13748,13194,13078,13137,13016,11484,12789,11424,10042,9851,9849,8428,7882,7132,6559,5340,6335,5588,5151,5439
,Belize,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Benin,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Bermuda,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Bhutan,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,12,50,57,65,78,75,73,73,60,70,46,10,41,36,33,47,24,32,36,36,110
,Bolivia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,14330,1543,1808,1863,6011,7755,7465,8198,8072,8633,9275,9595,10427,11056,10049,12274,12681,13328,15310,13961,8871
,Botswana,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,992,1004,1005,858,879,1125,1167,1145,1108,1131,944,1064,1086,1210,1020,1136,807,1070,845,791,1185
,Brazil,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,17758,18024,18888,19580,19953,19594,21462,22318,21906,19606,20108,21858,22143,22020,23076,23145,19211,23925,25204,26037,26919
,Brunei,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,37680,35275,37731,37494,37096,36524,31819,32193,34549,31503,34873,33759,32122,33087,36959,36536,33296,35936,44275,38818,33596
,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Burma (Myanmar),,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,37,31,42,34,35,36,211,639,708,537,944,480,592,762,802,704,666,750,765,901,706
,Burundi,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Cambodia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,18,19,21,23,21
,Cameroon,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Canada,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,54916,57428,58307,59497,63017,65625,65171,69728,66757,68846,68341,66610,60097,60230,57455,64322,53825,49808,45145,45625,37659
,Cape Verde,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Central African Republic,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
,Chad,,,,,,,,,,,,,,,,,,,,,,
