International_data,,,,,,,,,,,,,,,,,,,,,,,
http://www.eia.gov/beta/international/data/browser/#?ord=CR&cy=2013&v=H&vo=0&so=0&io=0&start=1993&end=2013&vs=INTL.2-2-AFG-BKWH.A~INTL.2-2-ALB-BKWH.A~INTL.2-2-DZA-BKWH.A~INTL.2-2-ASM-BKWH.A~INTL.2-2-AGO-BKWH.A~INTL.2-2-ATA-BKWH.A~INTL.2-2-ATG-BKWH.A~INTL.2-2-ARG-BKWH.A~INTL.2-2-ARM-BKWH.A~INTL.2-2-ABW-BKWH.A~INTL.2-2-AUS-BKWH.A~INTL.2-2-AUT-BKWH.A~INTL.2-2-AZE-BKWH.A~INTL.2-2-BHS-BKWH.A~INTL.2-2-BHR-BKWH.A~INTL.2-2-BGD-BKWH.A~INTL.2-2-BRB-BKWH.A~INTL.2-2-BLR-BKWH.A~INTL.2-2-BEL-BKWH.A~INTL.2-2-BLZ-BKWH.A~INTL.2-2-BEN-BKWH.A~INTL.2-2-BMU-BKWH.A~INTL.2-2-BTN-BKWH.A~INTL.2-2-BOL-BKWH.A~INTL.2-2-BIH-BKWH.A~INTL.2-2-BWA-BKWH.A~INTL.2-2-BRA-BKWH.A~INTL.2-2-BRN-BKWH.A~INTL.2-2-BGR-BKWH.A~INTL.2-2-BFA-BKWH.A~INTL.2-2-MMR-BKWH.A~INTL.2-2-BDI-BKWH.A~INTL.2-2-KHM-BKWH.A~INTL.2-2-CMR-BKWH.A~INTL.2-2-CAN-BKWH.A~INTL.2-2-CPV-BKWH.A~INTL.2-2-CYM-BKWH.A~INTL.2-2-CAF-BKWH.A~INTL.2-2-TCD-BKWH.A~INTL.2-2-CHL-BKWH.A~INTL.2-2-CHN-BKWH.A~INTL.2-2-COL-BKWH.A~INTL.2-2-COM-BKWH.A~INTL.2-2-COG-BKWH.A~INTL.2-2-COD-BKWH.A~INTL.2-2-COK-BKWH.A~INTL.2-2-CRI-BKWH.A~INTL.2-2-CIV-BKWH.A~INTL.2-2-HRV-BKWH.A~INTL.2-2-CUB-BKWH.A~INTL.2-2-CYP-BKWH.A~INTL.2-2-CZE-BKWH.A~INTL.2-2-DNK-BKWH.A~INTL.2-2-DJI-BKWH.A~INTL.2-2-DMA-BKWH.A~INTL.2-2-DOM-BKWH.A~INTL.2-2-ECU-BKWH.A~INTL.2-2-EGY-BKWH.A~INTL.2-2-SLV-BKWH.A~INTL.2-2-GNQ-BKWH.A~INTL.2-2-ERI-BKWH.A~INTL.2-2-EST-BKWH.A~INTL.2-2-ETH-BKWH.A~INTL.2-2-FLK-BKWH.A~INTL.2-2-FRO-BKWH.A~INTL.2-2-FJI-BKWH.A~INTL.2-2-FIN-BKWH.A~INTL.2-2-CSK-BKWH.A~INTL.2-2-SCG-BKWH.A~INTL.2-2-SUN-BKWH.A~INTL.2-2-YUG-BKWH.A~INTL.2-2-FRA-BKWH.A~INTL.2-2-GUF-BKWH.A~INTL.2-2-PYF-BKWH.A~INTL.2-2-GAB-BKWH.A~INTL.2-2-GMB-BKWH.A~INTL.2-2-GEO-BKWH.A~INTL.2-2-DEU-BKWH.A~INTL.2-2-DDR-BKWH.A~INTL.2-2-DEUW-BKWH.A~INTL.2-2-GHA-BKWH.A~INTL.2-2-GIB-BKWH.A~INTL.2-2-GRC-BKWH.A~INTL.2-2-GRL-BKWH.A~INTL.2-2-GRD-BKWH.A~INTL.2-2-GLP-BKWH.A~INTL.2-2-GUM-BKWH.A~INTL.2-2-GTM-BKWH.A~INTL.2-2-GIN-BKWH.A~INTL.2-2-GNB-BKWH.A~INTL.2-2-GUY-BKWH.A~INTL.2-2-HTI-BKWH.A~INTL.2-2-HITZ-BKWH.A~INTL.2-2-HND-BKWH.A~INTL.2-2-HKG-BKWH.A~INTL.2-2-HUN-BKWH.A~INTL.2-2-ISL-BKWH.A~INTL.2-2-IND-BKWH.A~INTL.2-2-IDN-BKWH.A~INTL.2-2-IRN-BKWH.A~INTL.2-2-IRQ-BKWH.A~INTL.2-2-IRL-BKWH.A~INTL.2-2-ISR-BKWH.A~INTL.2-2-ITA-BKWH.A~INTL.2-2-JAM-BKWH.A~INTL.2-2-JPN-BKWH.A~INTL.2-2-JOR-BKWH.A~INTL.2-2-KAZ-BKWH.A~INTL.2-2-KEN-BKWH.A~INTL.2-2-KIR-BKWH.A~INTL.2-2-PRK-BKWH.A~INTL.2-2-KOR-BKWH.A~INTL.2-2-UNK-BKWH.A~INTL.2-2-KWT-BKWH.A~INTL.2-2-KGZ-BKWH.A~INTL.2-2-LAO-BKWH.A~INTL.2-2-LVA-BKWH.A~INTL.2-2-LBN-BKWH.A~INTL.2-2-LSO-BKWH.A~INTL.2-2-LBR-BKWH.A~INTL.2-2-LBY-BKWH.A~INTL.2-2-LTU-BKWH.A~INTL.2-2-LUX-BKWH.A~INTL.2-2-MAC-BKWH.A~INTL.2-2-MKD-BKWH.A~INTL.2-2-MDG-BKWH.A~INTL.2-2-MWI-BKWH.A~INTL.2-2-MYS-BKWH.A~INTL.2-2-MDV-BKWH.A~INTL.2-2-MLI-BKWH.A~INTL.2-2-MLT-BKWH.A~INTL.2-2-MTQ-BKWH.A~INTL.2-2-MRT-BKWH.A~INTL.2-2-MUS-BKWH.A~INTL.2-2-MEX-BKWH.A~INTL.2-2-FSM-BKWH.A~INTL.2-2-MDA-BKWH.A~INTL.2-2-MNG-BKWH.A~INTL.2-2-MNE-BKWH.A~INTL.2-2-MSR-BKWH.A~INTL.2-2-MAR-BKWH.A~INTL.2-2-MOZ-BKWH.A~INTL.2-2-NAM-BKWH.A~INTL.2-2-NRU-BKWH.A~INTL.2-2-NPL-BKWH.A~INTL.2-2-NLD-BKWH.A~INTL.2-2-NLDA-BKWH.A~INTL.2-2-NCL-BKWH.A~INTL.2-2-NZL-BKWH.A~INTL.2-2-NIC-BKWH.A~INTL.2-2-NER-BKWH.A~INTL.2-2-NGA-BKWH.A~INTL.2-2-NIU-BKWH.A~INTL.2-2-MNP-BKWH.A~INTL.2-2-NOR-BKWH.A~INTL.2-2-OMN-BKWH.A~INTL.2-2-PAK-BKWH.A~INTL.2-2-PSE-BKWH.A~INTL.2-2-PAN-BKWH.A~INTL.2-2-PNG-BKWH.A~INTL.2-2-PRY-BKWH.A~INTL.2-2-PER-BKWH.A~INTL.2-2-PHL-BKWH.A~INTL.2-2-POL-BKWH.A~INTL.2-2-PRT-BKWH.A~INTL.2-2-PRI-BKWH.A~INTL.2-2-QAT-BKWH.A~INTL.2-2-REU-BKWH.A~INTL.2-2-ROU-BKWH.A~INTL.2-2-RUS-BKWH.A~INTL.2-2-RWA-BKWH.A~INTL.2-2-SHN-BKWH.A~INTL.2-2-KNA-BKWH.A~INTL.2-2-LCA-BKWH.A~INTL.2-2-SPM-BKWH.A~INTL.2-2-VCT-BKWH.A~INTL.2-2-WSM-BKWH.A~INTL.2-2-STP-BKWH.A~INTL.2-2-SAU-BKWH.A~INTL.2-2-SEN-BKWH.A~INTL.2-2-SRB-BKWH.A~INTL.2-2-SYC-BKWH.A~INTL.2-2-SLE-BKWH.A~INTL.2-2-SGP-BKWH.A~INTL.2-2-SVK-BKWH.A~INTL.2-2-SVN-BKWH.A~INTL.2-2-SLB-BKWH.A~INTL.2-2-SOM-BKWH.A~INTL.2-2-ZAF-BKWH.A~INTL.2-2-ESP-BKWH.A~INTL.2-2-LKA-BKWH.A~INTL.2-2-SDN-BKWH.A~INTL.2-2-SUR-BKWH.A~INTL.2-2-SWZ-BKWH.A~INTL.2-2-SWE-BKWH.A~INTL.2-2-CHE-BKWH.A~INTL.2-2-SYR-BKWH.A~INTL.2-2-TWN-BKWH.A~INTL.2-2-TJK-BKWH.A~INTL.2-2-TZA-BKWH.A~INTL.2-2-THA-BKWH.A~INTL.2-2-TLS-BKWH.A~INTL.2-2-TGO-BKWH.A~INTL.2-2-TON-BKWH.A~INTL.2-2-TTO-BKWH.A~INTL.2-2-TUN-BKWH.A~INTL.2-2-TUR-BKWH.A~INTL.2-2-TKM-BKWH.A~INTL.2-2-TCA-BKWH.A~INTL.2-2-TUV-BKWH.A~INTL.2-2-USIQ-BKWH.A~INTL.2-2-USOH-BKWH.A~INTL.2-2-UGA-BKWH.A~INTL.2-2-UKR-BKWH.A~INTL.2-2-ARE-BKWH.A~INTL.2-2-GBR-BKWH.A~INTL.2-2-USA-BKWH.A~INTL.2-2-URY-BKWH.A~INTL.2-2-UZB-BKWH.A~INTL.2-2-VUT-BKWH.A~INTL.2-2-VEN-BKWH.A~INTL.2-2-VNM-BKWH.A~INTL.2-2-VIR-BKWH.A~INTL.2-2-VGB-BKWH.A~INTL.2-2-WAK-BKWH.A~INTL.2-2-ESH-BKWH.A~INTL.2-2-YEM-BKWH.A~INTL.2-2-ZMB-BKWH.A~INTL.2-2-ZWE-BKWH.A&c=ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvuvo&pa=0000002&f=A&ug=g&ct=0&tl_type=p&tl_id=2-A&s=,,,,,,,,,,,,,,,,,,,,,,,
Mon Apr 25 2016 06:44:46 GMT-0400 (EDT),,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
,Electricity,Billion Kwh,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,0.7,0.8,0.7,0.6,0.6,0.5,0.5,0.5,0.7,0.7,1,0.9,1,1.2,1.5,1.4,2,2.4,3,3.9,4.6
,Albania,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,1.7,2,2.2,2.8,2.1,2.2,3.5,3.8,3.5,4.5,4.1,3.8,3.7,3,3.7,4.1,4.3,4.6,5,4.4,4.6
,Algeria,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,14,14,14,15,15,17,18,20,21,22,24,24,28,27,28,30,28,34,38,43,45
,American Samoa,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1
,Angola,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,1.1,1.1,1.1,1.1,1.2,1.3,1.1,1.2,1.4,1.5,1.6,1.6,2.1,2.9,2.7,3.6,4.1,4.7,4.9,4.8,5.2
,Antarctica,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,,,,,,,,,,,,,(s),(s),(s),(s),(s),(s),(s),(s),(s)
,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,(s),(s),(s),(s),(s),(s),(s),0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3
,Argentina,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,48,50,55,58,63,68,70,73,75,72,79,84,89,98,100,104,104,111,114,117,126
,Armenia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,3.7,3.3,2.9,3.5,4.3,3.7,3.9,3.7,3.7,3.4,3.7,4.2,4.2,4.4,4.8,4.6,4.5,4.6,5.1,5,5.3
,Aruba,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.7,0.7
,Australia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,144,148,152,157,162,172,176,183,193,200,201,205,200,204,215,215,220,222,225,224,223
,Austria,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,46,47,48,50,50,51,52,53,55,56,58,59,61,63,63,63,60,63,64,64,65
,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,14,15,14,14,14,15,15,15,16,16,18,19,17,19,17,17,13,14,15,18,18
,"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,1.1,1.1,1.1,1.1,1.2,1.3,1.4,1.5,1.5,1.6,1.7,1.7,1.8,1.8,1.9,1.7,1.5,1.5,1.5,1.7,1.7
,Bahrain,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,3.8,4.1,4.3,4.5,4.7,5,5.2,5.4,5.8,6.3,7,7.5,7.9,8.7,10,9.6,10,11,12,12,13
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,7.5,8.2,8.6,9,9.4,10,11,12,14,15,16,21,23,27,28,28,31,34,37,40,43
,Barbados,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,1,1,1,0.9,0.9,0.9
,Belarus,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,33,30,27,27,29,26,28,28,25,26,27,29,30,30,31,31,29,32,33,33,33
,Belgium,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,65,68,70,71,73,75,75,79,79,80,81,83,83,85,85,84,78,84,82,82,82
,Belize,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,Benin,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,0.9,1
,Bermuda,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
,Bhutan,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,(s),(s),0.1,0.2,0.4,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.9,1.1,1.4,1.8,1.6,1.7,2
,Bolivia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,2,2.4,2.5,2.7,2.9,3.1,3.3,3.4,3.4,3.5,3.6,3.8,4.2,4.5,4.9,4.9,5.2,5.7,6.1,6.5,7
,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,3.2,3.6,3.2,3.9,4.4,5.5,5.1,7.3,7.4,7.5,7.9,8.3,8.5,8.5,8.5,11,10,11,12,12,12
,Botswana,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,1.1,1.3,1.3,1.4,1.6,1.6,1.7,1.7,2,2.2,2.4,2.5,2.6,2.7,2.8,3,2.8,3.2,3,3.3,3.1
,Brazil,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,239,248,262,278,291,303,311,322,304,319,337,353,368,383,404,420,419,456,479,484,480
,Brunei,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,1.4,1.5,1.8,2,2.2,2.3,2.3,2.4,2.1,2.2,2.6,2.9,2.9,2.9,3,3.1,3.2,3.2,3.2,3.4,3.7
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,30,30,33,35,30,30,27,27,27,28,28,28,29,30,31,32,30,30,32,30,29
,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.2
,Burma (Myanmar),,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,2.1,2.2,2.3,2.4,2.7,2.8,2.9,3.3,3,3.6,4,3.9,3.5,4.2,4.2,4.5,4.8,6.1,7.7,7.8,8.4
,Burundi,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3
,Cambodia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.6,0.6,0.6,0.8,1,1.3,1.5,1.7,2,2.3,3,3.3
,Cameroon,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,2.3,2.2,2.2,2.3,2.5,2.5,2.6,2.7,2.6,2.5,2.8,3.3,3.3,4.4,4.6,5,5.1,5.2,5.2,5.5,6
,Canada,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,455,460,467,474,482,479,490,505,506,513,528,534,531,522,535,530,508,506,532,515,533
,Cape Verde,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,(s),(s),(s),(s),(s),(s),0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2
,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.6
,Central African Republic,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.1
,Chad,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
,Chile,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,20,21,26,28,31,32,35,38,39,41,44,47,48,51,53,54,53,54,59,63,65
,Colombia,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,30,32,33,34,35,34,33,33,34,35,35,37,38,40,42,43,46,47,52,51,47
,Comoros,,,,,,,,,,,,,,,,,,,,,,
,Consumption,Billion Kwh,(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s)
,Congo (Brazzaville),,,,,,,,,,,,,,,,,,,,,,
