International_data,,,,,,,,,,,,,,,,,,,,,,,,
http://www.eia.gov/beta/international/data/browser/#?ord=CR&cy=2014&v=H&vo=0&so=0&io=0&start=1993&end=2014&vs=INTL.26-2-AFG-BCF.A~INTL.26-2-ALB-BCF.A~INTL.26-2-DZA-BCF.A~INTL.26-2-ASM-BCF.A~INTL.26-2-AGO-BCF.A~INTL.26-2-ATA-BCF.A~INTL.26-2-ATG-BCF.A~INTL.26-2-ARG-BCF.A~INTL.26-2-ARM-BCF.A~INTL.26-2-ABW-BCF.A~INTL.26-2-AUS-BCF.A~INTL.26-2-AUT-BCF.A~INTL.26-2-AZE-BCF.A~INTL.26-2-BHS-BCF.A~INTL.26-2-BHR-BCF.A~INTL.26-2-BGD-BCF.A~INTL.26-2-BRB-BCF.A~INTL.26-2-BLR-BCF.A~INTL.26-2-BEL-BCF.A~INTL.26-2-BLZ-BCF.A~INTL.26-2-BEN-BCF.A~INTL.26-2-BMU-BCF.A~INTL.26-2-BTN-BCF.A~INTL.26-2-BOL-BCF.A~INTL.26-2-BIH-BCF.A~INTL.26-2-BWA-BCF.A~INTL.26-2-BRA-BCF.A~INTL.26-2-BRN-BCF.A~INTL.26-2-BGR-BCF.A~INTL.26-2-BFA-BCF.A~INTL.26-2-MMR-BCF.A~INTL.26-2-BDI-BCF.A~INTL.26-2-KHM-BCF.A~INTL.26-2-CMR-BCF.A~INTL.26-2-CAN-BCF.A~INTL.26-2-CPV-BCF.A~INTL.26-2-CYM-BCF.A~INTL.26-2-CAF-BCF.A~INTL.26-2-TCD-BCF.A~INTL.26-2-CHL-BCF.A~INTL.26-2-CHN-BCF.A~INTL.26-2-COL-BCF.A~INTL.26-2-COM-BCF.A~INTL.26-2-COG-BCF.A~INTL.26-2-COD-BCF.A~INTL.26-2-COK-BCF.A~INTL.26-2-CRI-BCF.A~INTL.26-2-CIV-BCF.A~INTL.26-2-HRV-BCF.A~INTL.26-2-CUB-BCF.A~INTL.26-2-CYP-BCF.A~INTL.26-2-CZE-BCF.A~INTL.26-2-DNK-BCF.A~INTL.26-2-DJI-BCF.A~INTL.26-2-DMA-BCF.A~INTL.26-2-DOM-BCF.A~INTL.26-2-ECU-BCF.A~INTL.26-2-EGY-BCF.A~INTL.26-2-SLV-BCF.A~INTL.26-2-GNQ-BCF.A~INTL.26-2-ERI-BCF.A~INTL.26-2-EST-BCF.A~INTL.26-2-ETH-BCF.A~INTL.26-2-FLK-BCF.A~INTL.26-2-FRO-BCF.A~INTL.26-2-FJI-BCF.A~INTL.26-2-FIN-BCF.A~INTL.26-2-CSK-BCF.A~INTL.26-2-SCG-BCF.A~INTL.26-2-SUN-BCF.A~INTL.26-2-YUG-BCF.A~INTL.26-2-FRA-BCF.A~INTL.26-2-GUF-BCF.A~INTL.26-2-PYF-BCF.A~INTL.26-2-GAB-BCF.A~INTL.26-2-GMB-BCF.A~INTL.26-2-GEO-BCF.A~INTL.26-2-DEU-BCF.A~INTL.26-2-DDR-BCF.A~INTL.26-2-DEUW-BCF.A~INTL.26-2-GHA-BCF.A~INTL.26-2-GIB-BCF.A~INTL.26-2-GRC-BCF.A~INTL.26-2-GRL-BCF.A~INTL.26-2-GRD-BCF.A~INTL.26-2-GLP-BCF.A~INTL.26-2-GUM-BCF.A~INTL.26-2-GTM-BCF.A~INTL.26-2-GIN-BCF.A~INTL.26-2-GNB-BCF.A~INTL.26-2-GUY-BCF.A~INTL.26-2-HTI-BCF.A~INTL.26-2-HITZ-BCF.A~INTL.26-2-HND-BCF.A~INTL.26-2-HKG-BCF.A~INTL.26-2-HUN-BCF.A~INTL.26-2-ISL-BCF.A~INTL.26-2-IND-BCF.A~INTL.26-2-IDN-BCF.A~INTL.26-2-IRN-BCF.A~INTL.26-2-IRQ-BCF.A~INTL.26-2-IRL-BCF.A~INTL.26-2-ISR-BCF.A~INTL.26-2-ITA-BCF.A~INTL.26-2-JAM-BCF.A~INTL.26-2-JPN-BCF.A~INTL.26-2-JOR-BCF.A~INTL.26-2-KAZ-BCF.A~INTL.26-2-KEN-BCF.A~INTL.26-2-KIR-BCF.A~INTL.26-2-PRK-BCF.A~INTL.26-2-KOR-BCF.A~INTL.26-2-UNK-BCF.A~INTL.26-2-KWT-BCF.A~INTL.26-2-KGZ-BCF.A~INTL.26-2-LAO-BCF.A~INTL.26-2-LVA-BCF.A~INTL.26-2-LBN-BCF.A~INTL.26-2-LSO-BCF.A~INTL.26-2-LBR-BCF.A~INTL.26-2-LBY-BCF.A~INTL.26-2-LTU-BCF.A~INTL.26-2-LUX-BCF.A~INTL.26-2-MAC-BCF.A~INTL.26-2-MKD-BCF.A~INTL.26-2-MDG-BCF.A~INTL.26-2-MWI-BCF.A~INTL.26-2-MYS-BCF.A~INTL.26-2-MDV-BCF.A~INTL.26-2-MLI-BCF.A~INTL.26-2-MLT-BCF.A~INTL.26-2-MTQ-BCF.A~INTL.26-2-MRT-BCF.A~INTL.26-2-MUS-BCF.A~INTL.26-2-MEX-BCF.A~INTL.26-2-FSM-BCF.A~INTL.26-2-MDA-BCF.A~INTL.26-2-MNG-BCF.A~INTL.26-2-MNE-BCF.A~INTL.26-2-MSR-BCF.A~INTL.26-2-MAR-BCF.A~INTL.26-2-MOZ-BCF.A~INTL.26-2-NAM-BCF.A~INTL.26-2-NRU-BCF.A~INTL.26-2-NPL-BCF.A~INTL.26-2-NLD-BCF.A~INTL.26-2-NLDA-BCF.A~INTL.26-2-NCL-BCF.A~INTL.26-2-NZL-BCF.A~INTL.26-2-NIC-BCF.A~INTL.26-2-NER-BCF.A~INTL.26-2-NGA-BCF.A~INTL.26-2-NIU-BCF.A~INTL.26-2-MNP-BCF.A~INTL.26-2-NOR-BCF.A~INTL.26-2-OMN-BCF.A~INTL.26-2-PAK-BCF.A~INTL.26-2-PSE-BCF.A~INTL.26-2-PAN-BCF.A~INTL.26-2-PNG-BCF.A~INTL.26-2-PRY-BCF.A~INTL.26-2-PER-BCF.A~INTL.26-2-PHL-BCF.A~INTL.26-2-POL-BCF.A~INTL.26-2-PRT-BCF.A~INTL.26-2-PRI-BCF.A~INTL.26-2-QAT-BCF.A~INTL.26-2-REU-BCF.A~INTL.26-2-ROU-BCF.A~INTL.26-2-RUS-BCF.A~INTL.26-2-RWA-BCF.A~INTL.26-2-SHN-BCF.A~INTL.26-2-KNA-BCF.A~INTL.26-2-LCA-BCF.A~INTL.26-2-SPM-BCF.A~INTL.26-2-VCT-BCF.A~INTL.26-2-WSM-BCF.A~INTL.26-2-STP-BCF.A~INTL.26-2-SAU-BCF.A~INTL.26-2-SEN-BCF.A~INTL.26-2-SRB-BCF.A~INTL.26-2-SYC-BCF.A~INTL.26-2-SLE-BCF.A~INTL.26-2-SGP-BCF.A~INTL.26-2-SVK-BCF.A~INTL.26-2-SVN-BCF.A~INTL.26-2-SLB-BCF.A~INTL.26-2-SOM-BCF.A~INTL.26-2-ZAF-BCF.A~INTL.26-2-ESP-BCF.A~INTL.26-2-LKA-BCF.A~INTL.26-2-SDN-BCF.A~INTL.26-2-SUR-BCF.A~INTL.26-2-SWZ-BCF.A~INTL.26-2-SWE-BCF.A~INTL.26-2-CHE-BCF.A~INTL.26-2-SYR-BCF.A~INTL.26-2-TWN-BCF.A~INTL.26-2-TJK-BCF.A~INTL.26-2-TZA-BCF.A~INTL.26-2-THA-BCF.A~INTL.26-2-TLS-BCF.A~INTL.26-2-TGO-BCF.A~INTL.26-2-TON-BCF.A~INTL.26-2-TTO-BCF.A~INTL.26-2-TUN-BCF.A~INTL.26-2-TUR-BCF.A~INTL.26-2-TKM-BCF.A~INTL.26-2-TCA-BCF.A~INTL.26-2-TUV-BCF.A~INTL.26-2-USIQ-BCF.A~INTL.26-2-USOH-BCF.A~INTL.26-2-UGA-BCF.A~INTL.26-2-UKR-BCF.A~INTL.26-2-ARE-BCF.A~INTL.26-2-GBR-BCF.A~INTL.26-2-USA-BCF.A~INTL.26-2-URY-BCF.A~INTL.26-2-UZB-BCF.A~INTL.26-2-VUT-BCF.A~INTL.26-2-VEN-BCF.A~INTL.26-2-VNM-BCF.A~INTL.26-2-VIR-BCF.A~INTL.26-2-VGB-BCF.A~INTL.26-2-WAK-BCF.A~INTL.26-2-ESH-BCF.A~INTL.26-2-YEM-BCF.A~INTL.26-2-ZMB-BCF.A~INTL.26-2-ZWE-BCF.A&c=ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvuvo&pa=0000000g&f=A&ug=g&ct=0&tl_type=p&tl_id=3002-A&s=,,,,,,,,,,,,,,,,,,,,,,,,
Mon Apr 25 2016 06:46:37 GMT-0400 (EDT),,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,11,11,7.1,8.1,8.1,8.1,8.1,8.1,1.8,1.8,0.7,0.7,0.7,0.7,1.4,1.8,1.1,4.9,4.9,,,
,Albania,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,1.1,1.1,1.1,1.1,0.7,1.1,0.7,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.4,1.1,1.1,0.4,0.4,0.6,0.7,
,Algeria,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,655,690,742,762,712,736,753,726,722,721,725,681,846,904,934,977,1016,1024,1161,1282,1294,
,American Samoa,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,,
,Angola,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,20,18,20,20,20,20,20,20,19,22,23,26,23,24,29,24,24,26,27,27,17,
,Antarctica,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,,
,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,,
,Argentina,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,833,856,953,1010,1008,1077,1143,1173,1103,1069,1221,1339,1428,1475,1551,1568,1523,1529,1629,1633,1695,
,Armenia,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,49,64,57,64,46,49,46,50,49,38,47,47,60,60,73,68,55,61,73,87,85,
,Aruba,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,,
,Australia,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,630,661,710,719,718,752,759,797,841,888,917,985,1014,1019,1132,1153,1212,1207,1282,1291,1343,
,Austria,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,235,242,262,281,271,279,285,272,288,291,315,311,354,332,313,331,323,353,335,319,301,
,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,385,331,317,328,323,197,212,210,320,320,325,351,367,399,328,424,376,359,336,373,373,
,"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,,
,Bahrain,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,234,229,229,232,281,293,297,303,314,334,340,344,378,400,416,438,441,451,446,470,554,
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,216,235,260,267,269,290,320,343,364,392,429,463,494,541,575,632,692,703,710,778,807,
,Barbados,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,1.1,0.8,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1.1,0.7,0.7,0.7,0.7,0.7,
,Belarus,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,586,498,452,494,533,545,608,692,636,598,634,579,717,741,733,751,627,771,750,739,787,
,Belgium,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,392,401,443,493,470,518,551,554,547,564,600,612,601,619,624,619,625,700,626,631,635,
,Belize,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,,
,Benin,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,,
,Bermuda,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,,
,Bhutan,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,,
,Bolivia,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,30,35,43,37,47,31,32,44,29,36,79,76,75,85,89,101,100,96,87,131,113,
,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,14,15,87,4.9,4.9,7.1,7.1,11,11,5.7,5.7,11,14,14,11,11,7.4,8.1,9.9,8.5,8.5,
,Botswana,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,,,,,,,,,,,,,,,,,,,,,,
,Brazil,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,146,152,159,178,195,205,231,333,396,473,499,608,657,683,701,835,661,890,885,1071,1356,
,Brunei,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Dry Natural Gas,Bcf,29,25,34,28,31,27,37,39,48,59,61,71,83,141,145,148,88,105,107,104,105,
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,,,,,,,,,,,,,,,,,,,,,,,
,Gross Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
,Marketed Natural Gas,,,,,,,,,,,,,,,,,,,,,,,
