It	PRP	B
is	VBZ	I
widely	RB	I
agreed	VBN	I
that	IN	O
government	NN	O
is	VBZ	O
a	DT	O
'	``	O
trust	NN	O
structure	NN	O
'	''	O
created	VBN	O
by	IN	O
people	NNS	O
to	TO	O
manage	VB	O
the	DT	O
needs	NNS	O
of	IN	O
society	NN	O
.	.	O
The	DT	O
relationship	NN	O
between	IN	O
government	NN	O
and	CC	O
the	DT	O
governed	VBN	O
is	VBZ	O
a	DT	O
fiduciary	JJ	O
one	NN	O
.	.	O
Yet	RB	O
rules	NNS	O
such	JJ	O
as	IN	O
Sovereign	NNP	O
Immunity	NNP	O
or	CC	O
Crown	NNP	O
and	CC	O
Judicial	NNP	O
Immunity	NNP	O
are	VBP	O
now	RB	O
being	VBG	O
targeted	VBN	O
as	IN	O
the	DT	O
very	RB	O
the	DT	O
tools	NNS	O
of	IN	O
oppression	NN	O
that	WDT	O
are	VBP	O
preventing	VBG	O
those	DT	O
being	VBG	O
abused	VBN	O
from	IN	O
taking	VBG	O
action	NN	O
against	IN	O
the	DT	O
person	NN	O
controlling	VBG	O
the	DT	O
laws	NNS	O
of	IN	O
a	DT	O
country	NN	O
.	.	O
Originating	VBG	O
from	IN	O
within	IN	O
the	DT	O
Courts	NNPS	O
of	IN	O
Equity	NNP	O
,	,	O
the	DT	O
fiduciary	JJ	O
concept	NN	O
was	VBD	O
partly	RB	O
designed	VBN	O
to	TO	O
prevent	VB	O
those	DT	O
holding	VBG	O
positions	NNS	O
of	IN	O
power	NN	O
from	IN	O
abusing	VBG	O
their	PRP$	O
authority	NN	O
.	.	O
