,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,7.7,6.6,5.5,3.3,2.2,2.2,1.1,1.1,29,23,39,37,36,39,268,383,551,799,1631,1367,1499
Albania,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,236,186,88,125,43,54,54,33,23,17,64,64,50,50,50,94,15,15,5.5,5.5,2.2
Algeria,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,22,22,24,13,12,8.8,5.5,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,184,384,336,343,276,319,370,286,206,106,98,56,28,155,121,102,90,72,99,105,81
Armenia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,249194,248463,266546,272435,291515,316750,320774,338103,362855,374673,376616,386144,408505,412984,431046,432383,449631,467823,420104,412409,451472
Austria,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,1865,1510,1431,1221,1246,1257,1253,1377,1329,1556,1270,259,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,25,71,196,334,428,746,913,777,735,920,931
Barbados,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,1070,830,702,617,471,344,401,413,240,191,142,200,120,32,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,51,71,75,71,60,55,55,55,93,98,73,33,94,108,116,137,54,97,120,109,115
Bolivia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
