International_data,,,,,,,,,,,,,,,,,,,,,,,,
http://www.eia.gov/beta/international/data/browser/#?ord=CR&cy=2014&v=H&vo=0&so=0&io=0&start=1993&end=2014&vs=INTL.5-2-AFG-TBPD.A~INTL.5-2-ALB-TBPD.A~INTL.5-2-DZA-TBPD.A~INTL.5-2-ASM-TBPD.A~INTL.5-2-AGO-TBPD.A~INTL.5-2-ATA-TBPD.A~INTL.5-2-ATG-TBPD.A~INTL.5-2-ARG-TBPD.A~INTL.5-2-ARM-TBPD.A~INTL.5-2-ABW-TBPD.A~INTL.5-2-AUS-TBPD.A~INTL.5-2-AUT-TBPD.A~INTL.5-2-AZE-TBPD.A~INTL.5-2-BHS-TBPD.A~INTL.5-2-BHR-TBPD.A~INTL.5-2-BGD-TBPD.A~INTL.5-2-BRB-TBPD.A~INTL.5-2-BLR-TBPD.A~INTL.5-2-BEL-TBPD.A~INTL.5-2-BLZ-TBPD.A~INTL.5-2-BEN-TBPD.A~INTL.5-2-BMU-TBPD.A~INTL.5-2-BTN-TBPD.A~INTL.5-2-BOL-TBPD.A~INTL.5-2-BIH-TBPD.A~INTL.5-2-BWA-TBPD.A~INTL.5-2-BRA-TBPD.A~INTL.5-2-BRN-TBPD.A~INTL.5-2-BGR-TBPD.A~INTL.5-2-BFA-TBPD.A~INTL.5-2-MMR-TBPD.A~INTL.5-2-BDI-TBPD.A~INTL.5-2-KHM-TBPD.A~INTL.5-2-CMR-TBPD.A~INTL.5-2-CAN-TBPD.A~INTL.5-2-CPV-TBPD.A~INTL.5-2-CYM-TBPD.A~INTL.5-2-CAF-TBPD.A~INTL.5-2-TCD-TBPD.A~INTL.5-2-CHL-TBPD.A~INTL.5-2-CHN-TBPD.A~INTL.5-2-COL-TBPD.A~INTL.5-2-COM-TBPD.A~INTL.5-2-COG-TBPD.A~INTL.5-2-COD-TBPD.A~INTL.5-2-COK-TBPD.A~INTL.5-2-CRI-TBPD.A~INTL.5-2-CIV-TBPD.A~INTL.5-2-HRV-TBPD.A~INTL.5-2-CUB-TBPD.A~INTL.5-2-CYP-TBPD.A~INTL.5-2-CZE-TBPD.A~INTL.5-2-DNK-TBPD.A~INTL.5-2-DJI-TBPD.A~INTL.5-2-DMA-TBPD.A~INTL.5-2-DOM-TBPD.A~INTL.5-2-ECU-TBPD.A~INTL.5-2-EGY-TBPD.A~INTL.5-2-SLV-TBPD.A~INTL.5-2-GNQ-TBPD.A~INTL.5-2-ERI-TBPD.A~INTL.5-2-EST-TBPD.A~INTL.5-2-ETH-TBPD.A~INTL.5-2-FLK-TBPD.A~INTL.5-2-FRO-TBPD.A~INTL.5-2-FJI-TBPD.A~INTL.5-2-FIN-TBPD.A~INTL.5-2-CSK-TBPD.A~INTL.5-2-SCG-TBPD.A~INTL.5-2-SUN-TBPD.A~INTL.5-2-YUG-TBPD.A~INTL.5-2-FRA-TBPD.A~INTL.5-2-GUF-TBPD.A~INTL.5-2-PYF-TBPD.A~INTL.5-2-GAB-TBPD.A~INTL.5-2-GMB-TBPD.A~INTL.5-2-GEO-TBPD.A~INTL.5-2-DEU-TBPD.A~INTL.5-2-DDR-TBPD.A~INTL.5-2-DEUW-TBPD.A~INTL.5-2-GHA-TBPD.A~INTL.5-2-GIB-TBPD.A~INTL.5-2-GRC-TBPD.A~INTL.5-2-GRL-TBPD.A~INTL.5-2-GRD-TBPD.A~INTL.5-2-GLP-TBPD.A~INTL.5-2-GUM-TBPD.A~INTL.5-2-GTM-TBPD.A~INTL.5-2-GIN-TBPD.A~INTL.5-2-GNB-TBPD.A~INTL.5-2-GUY-TBPD.A~INTL.5-2-HTI-TBPD.A~INTL.5-2-HITZ-TBPD.A~INTL.5-2-HND-TBPD.A~INTL.5-2-HKG-TBPD.A~INTL.5-2-HUN-TBPD.A~INTL.5-2-ISL-TBPD.A~INTL.5-2-IND-TBPD.A~INTL.5-2-IDN-TBPD.A~INTL.5-2-IRN-TBPD.A~INTL.5-2-IRQ-TBPD.A~INTL.5-2-IRL-TBPD.A~INTL.5-2-ISR-TBPD.A~INTL.5-2-ITA-TBPD.A~INTL.5-2-JAM-TBPD.A~INTL.5-2-JPN-TBPD.A~INTL.5-2-JOR-TBPD.A~INTL.5-2-KAZ-TBPD.A~INTL.5-2-KEN-TBPD.A~INTL.5-2-KIR-TBPD.A~INTL.5-2-PRK-TBPD.A~INTL.5-2-KOR-TBPD.A~INTL.5-2-UNK-TBPD.A~INTL.5-2-KWT-TBPD.A~INTL.5-2-KGZ-TBPD.A~INTL.5-2-LAO-TBPD.A~INTL.5-2-LVA-TBPD.A~INTL.5-2-LBN-TBPD.A~INTL.5-2-LSO-TBPD.A~INTL.5-2-LBR-TBPD.A~INTL.5-2-LBY-TBPD.A~INTL.5-2-LTU-TBPD.A~INTL.5-2-LUX-TBPD.A~INTL.5-2-MAC-TBPD.A~INTL.5-2-MKD-TBPD.A~INTL.5-2-MDG-TBPD.A~INTL.5-2-MWI-TBPD.A~INTL.5-2-MYS-TBPD.A~INTL.5-2-MDV-TBPD.A~INTL.5-2-MLI-TBPD.A~INTL.5-2-MLT-TBPD.A~INTL.5-2-MTQ-TBPD.A~INTL.5-2-MRT-TBPD.A~INTL.5-2-MUS-TBPD.A~INTL.5-2-MEX-TBPD.A~INTL.5-2-FSM-TBPD.A~INTL.5-2-MDA-TBPD.A~INTL.5-2-MNG-TBPD.A~INTL.5-2-MNE-TBPD.A~INTL.5-2-MSR-TBPD.A~INTL.5-2-MAR-TBPD.A~INTL.5-2-MOZ-TBPD.A~INTL.5-2-NAM-TBPD.A~INTL.5-2-NRU-TBPD.A~INTL.5-2-NPL-TBPD.A~INTL.5-2-NLD-TBPD.A~INTL.5-2-NLDA-TBPD.A~INTL.5-2-NCL-TBPD.A~INTL.5-2-NZL-TBPD.A~INTL.5-2-NIC-TBPD.A~INTL.5-2-NER-TBPD.A~INTL.5-2-NGA-TBPD.A~INTL.5-2-NIU-TBPD.A~INTL.5-2-MNP-TBPD.A~INTL.5-2-NOR-TBPD.A~INTL.5-2-OMN-TBPD.A~INTL.5-2-PAK-TBPD.A~INTL.5-2-PSE-TBPD.A~INTL.5-2-PAN-TBPD.A~INTL.5-2-PNG-TBPD.A~INTL.5-2-PRY-TBPD.A~INTL.5-2-PER-TBPD.A~INTL.5-2-PHL-TBPD.A~INTL.5-2-POL-TBPD.A~INTL.5-2-PRT-TBPD.A~INTL.5-2-PRI-TBPD.A~INTL.5-2-QAT-TBPD.A~INTL.5-2-REU-TBPD.A~INTL.5-2-ROU-TBPD.A~INTL.5-2-RUS-TBPD.A~INTL.5-2-RWA-TBPD.A~INTL.5-2-SHN-TBPD.A~INTL.5-2-KNA-TBPD.A~INTL.5-2-LCA-TBPD.A~INTL.5-2-SPM-TBPD.A~INTL.5-2-VCT-TBPD.A~INTL.5-2-WSM-TBPD.A~INTL.5-2-STP-TBPD.A~INTL.5-2-SAU-TBPD.A~INTL.5-2-SEN-TBPD.A~INTL.5-2-SRB-TBPD.A~INTL.5-2-SYC-TBPD.A~INTL.5-2-SLE-TBPD.A~INTL.5-2-SGP-TBPD.A~INTL.5-2-SVK-TBPD.A~INTL.5-2-SVN-TBPD.A~INTL.5-2-SLB-TBPD.A~INTL.5-2-SOM-TBPD.A~INTL.5-2-ZAF-TBPD.A~INTL.5-2-ESP-TBPD.A~INTL.5-2-LKA-TBPD.A~INTL.5-2-SDN-TBPD.A~INTL.5-2-SUR-TBPD.A~INTL.5-2-SWZ-TBPD.A~INTL.5-2-SWE-TBPD.A~INTL.5-2-CHE-TBPD.A~INTL.5-2-SYR-TBPD.A~INTL.5-2-TWN-TBPD.A~INTL.5-2-TJK-TBPD.A~INTL.5-2-TZA-TBPD.A~INTL.5-2-THA-TBPD.A~INTL.5-2-TLS-TBPD.A~INTL.5-2-TGO-TBPD.A~INTL.5-2-TON-TBPD.A~INTL.5-2-TTO-TBPD.A~INTL.5-2-TUN-TBPD.A~INTL.5-2-TUR-TBPD.A~INTL.5-2-TKM-TBPD.A~INTL.5-2-TCA-TBPD.A~INTL.5-2-TUV-TBPD.A~INTL.5-2-USIQ-TBPD.A~INTL.5-2-USOH-TBPD.A~INTL.5-2-UGA-TBPD.A~INTL.5-2-UKR-TBPD.A~INTL.5-2-ARE-TBPD.A~INTL.5-2-GBR-TBPD.A~INTL.5-2-USA-TBPD.A~INTL.5-2-URY-TBPD.A~INTL.5-2-UZB-TBPD.A~INTL.5-2-VUT-TBPD.A~INTL.5-2-VEN-TBPD.A~INTL.5-2-VNM-TBPD.A~INTL.5-2-VIR-TBPD.A~INTL.5-2-VGB-TBPD.A~INTL.5-2-WAK-TBPD.A~INTL.5-2-ESH-TBPD.A~INTL.5-2-YEM-TBPD.A~INTL.5-2-ZMB-TBPD.A~INTL.5-2-ZWE-TBPD.A&c=ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvuvo&pa=0000001&f=A&ug=g&ct=0&tl_type=p&tl_id=5-A&s=,,,,,,,,,,,,,,,,,,,,,,,,
Mon Apr 25 2016 06:45:31 GMT-0400 (EDT),,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,
,,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Petroleum (annual),1000 bbl/d,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,7,6.7,6.4,6,5.6,5.3,3.9,3.9,2.7,2,3.5,4.3,6.5,8.3,9.1,21,36,43,43,43,43,NA
,Albania,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,17,13,15,12,12,15,18,21,23,24,27,29,31,32,32,27,26,26,26,23,25,NA
,Algeria,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,207,204,205,198,199,206,209,225,221,240,234,252,257,253,270,308,334,354,349,377,390,NA
,American Samoa,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.8,3.8,3.8,3.8,4.1,4.1,4.1,4.1,4.1,4.1,2.3,2.3,2.4,NA
,Angola,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,25,25,27,25,29,26,31,35,43,45,47,48,50,56,67,79,98,104,107,112,112,NA
,Antarctica,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,(s),(s),(s),NA
,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,3,3.2,3.3,3.3,3.4,3.4,3.4,3.5,3.5,3.5,3.7,4,4.4,4.5,4.4,4.5,4.8,4.9,4.9,4.9,4.9,NA
,Argentina,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,468,471,475,489,498,542,534,531,517,477,494,545,565,622,618,677,655,709,729,742,770,NA
,Armenia,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,25,18,25,28,31,32,33,35,37,39,40,41,44,45,47,47,46,9,8.5,8.7,8.7,NA
,Aruba,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,4.5,5,5.7,3.8,6,6.1,6.1,6.5,6.5,6.5,7,7.1,7.2,7.7,6.6,6.6,6.7,6.8,6.4,6.3,6.4,NA
,Australia,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,761,788,811,831,848,852,875,872,872,893,926,943,964,972,988,995,987,1013,1056,1074,1080,1079
,Austria,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,235,233,233,254,254,266,253,250,267,273,289,295,299,299,293,284,269,278,264,261,264,262
,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,194,187,179,134,129,146,149,137,120,110,111,113,115,114,109,84,80,83,92,97,99,NA
,"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,16,17,20,22,22,25,22,22,22,22,27,27,31,31,29,20,23,23,23,23,23,NA
,Bahrain,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,20,21,21,20,21,23,24,24,25,28,29,32,35,40,42,43,47,45,46,49,50,NA
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,40,46,51,52,56,58,67,69,81,83,84,85,87,91,91,94,101,82,104,107,109,NA
,Barbados,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,8.4,8.1,8.2,7.9,9.2,9.5,9.7,11,10,10,11,7.1,9.8,9.3,8.3,7.7,9.3,8.8,9.3,9.3,9,NA
,Belarus,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,289,241,228,206,186,171,150,140,130,123,143,158,171,174,176,157,183,152,176,166,171,NA
,Belgium,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,500,553,550,593,611,622,593,606,609,617,655,657,664,642,649,702,638,669,629,607,629,630
,Belize,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,2.1,2,2.3,1.9,3.2,3.2,3.3,4.7,6.3,6,6.3,6.8,7.1,7.2,7.3,3.6,3.5,3.5,3.5,3.5,3.5,NA
,Benin,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,5.8,6.1,6.7,7.2,7.8,8.5,9.2,11,11,12,14,17,18,21,23,24,31,35,31,31,31,NA
,Bermuda,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.6,3.7,4,4.3,4.5,4.5,6.3,4,4.5,4.6,4.6,4.6,4.6,NA
,Bhutan,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,0.6,0.7,0.9,0.9,0.9,1,1,1,1,1.1,1.1,1.1,1.2,1.2,1.5,1.6,2,2,2,2,2,NA
,Bolivia,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,28,30,33,35,36,40,43,45,47,47,46,48,49,50,61,57,57,61,64,71,71,NA
,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,23,20,19,18,18,21,21,19,19,20,22,25,26,26,26,30,34,35,35,33,34,NA
,Botswana,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,8.2,8.2,8.2,8.2,9.3,9.5,9.5,14,12,11,11,13,15,15,16,19,18,19,18,18,18,NA
,Brazil,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,1580,1674,1788,1904,2031,2096,2130,2121,2116,2102,2036,2123,2171,2197,2297,2441,2459,2699,2777,2923,3003,NA
,Brunei,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,9.2,11,11,13,13,13,12,13,13,13,13,13,14,14,15,17,17,17,18,18,18,NA
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,117,126,131,119,107,103,97,100,101,106,102,99,104,105,105,104,99,90,84,87,89,NA
,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,4.2,4.6,4.6,4.7,7.6,7.2,7.2,7.5,7.6,7.8,8.1,8.2,8.3,8.4,9.5,13,12,12,12,12,12,NA
,Burma (Myanmar),,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,17,19,18,20,25,30,36,37,34,35,36,40,43,40,40,29,27,27,25,25,25,NA
,Burundi,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,2.5,2.6,2.5,2.6,2.6,2.6,2.6,2.6,2.8,2.8,2.9,2.7,2.6,2.6,2.4,1.3,1.5,1.5,1.5,1.5,1.5,NA
,Cambodia,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,3.2,3.3,10,11,13,16,16,17,20,22,24,26,28,31,33,34,32,26,29,29,28,NA
,Cameroon,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,21,23,23,23,24,23,22,23,23,22,23,24,24,26,29,31,33,36,37,39,38,NA
,Canada,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,1734,1755,1799,1853,1940,1931,2016,2008,2029,2040,2155,2233,2296,2294,2389,2317,2230,2326,2357,2403,2374,2395
,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,0.8,0.9,0.8,0.9,0.9,0.9,0.9,1.5,1,1.1,1.1,2.1,1.8,2,2.3,2.4,2.6,2.6,2.6,2.6,2.6,NA
,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,2,2.2,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.7,2.8,3.2,3.7,4.5,3.7,3.8,3.7,3.7,3.7,NA
,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,1.8,1.9,1.9,2,2,2.1,2.1,2.2,2.2,2.3,2.3,2.2,2.1,2.2,2.4,2.5,2.3,2.3,2.3,2.3,2.3,NA
,Chad,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.4,1.4,1.4,1.3,1.5,1.6,1.8,1.8,1.8,1.8,1.8,1.8,1.7,NA
,Chile,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,179,196,212,232,245,255,261,240,233,240,248,263,272,278,352,370,368,323,332,340,346,329
,Colombia,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,240,244,251,278,287,289,282,277,271,256,265,268,271,277,270,265,260,270,294,321,324,NA
,Comoros,,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,1,1,1,0.9,1,1,1,NA
,Congo (Brazzaville),,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,5.4,5.3,5.2,5,5,5.1,4.2,4.4,5.6,4.8,6,6.7,7.6,8.2,9.1,10,12,17,14,15,15,NA
,Congo (Kinshasa),,,,,,,,,,,,,,,,,,,,,,,
,Consumption,1000 bbl/d,25,20,21,21,21,20,17,14,9.5,8.1,8.1,11,12,11,13,12,11,16,20,21,20,NA
