,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Electricity,Billion Kwh,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,0.7,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.9,0.9,0.9,0.8,0.9,0.7,0.9,0.9,0.8,0.9,1
Albania,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,3.4,3.9,4.4,5.9,5.1,5,5.3,4.7,3.6,3.6,5.2,5.5,5.4,5,2.8,3.8,5.2,7.7,4,4.7,7
Algeria,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,18,19,18,19,20,21,23,24,25,26,28,29,32,33,35,38,36,43,48,54,56
American Samoa,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Angola,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,1.3,1.3,1.3,1.4,1.3,1.5,1.3,1.4,1.6,1.7,1.9,2.2,2.7,3.2,3.1,4.1,4.6,5.3,5.5,5.5,5.8
Antarctica,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,,,,,,,,,,,,,(s),(s),(s),(s),(s),(s),(s),(s),(s)
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,(s),(s),(s),(s),(s),(s),(s),0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Argentina,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,59,60,65,67,70,71,77,85,86,81,88,96,101,111,111,115,116,119,123,128,134
Armenia,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,6.1,5.5,5,5.8,5.7,5.8,5.6,5.6,5.6,5.2,5.2,5.9,6,5.6,5.6,5.5,5.4,6.2,7.1,7.6,7.3
Aruba,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.7
Australia,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,155,158,164,168,173,185,192,198,212,215,214,223,215,220,229,229,235,238,239,236,238
Austria,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,50,51,54,52,54,55,58,58,59,58,56,59,61,59,60,62,63,64,59,65,61
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,18,17,16,16,16,17,17,18,18,18,20,20,20,22,21,20,18,18,19,22,22
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,1.1,1.2,1.2,1.2,1.3,1.4,1.5,1.6,1.6,1.7,1.8,1.8,1.9,1.9,2,1.8,1.6,1.6,1.6,1.8,1.8
Bahrain,,,,,,,,,,,,,,,,,,,,,,
Generation,Billion Kwh,4,4.3,4.3,4.7,4.7,5.4,5.6,5.9,6.4,6.8,7.3,7.9,8.3,9.2,10,11,11,13,13,13,14
