International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.eia.gov/beta/international/data/browser/#?ord=CR&cy=2014&v=H&vo=0&so=0&io=0&start=1980&end=2014&vs=INTL.44-1-AFRC-QBTU.A~INTL.44-1-ASOC-QBTU.A~INTL.44-1-CSAM-QBTU.A~INTL.44-1-EURA-QBTU.A~INTL.44-1-EURO-QBTU.A~INTL.44-1-MIDE-QBTU.A~INTL.44-1-NOAM-QBTU.A~INTL.44-1-WORL-QBTU.A&c=4100000002000060000000000000g000200000000000000001&pa=rjugfvg000000000000000000000000000vg018001&f=A&ug=g&ct=1&tl_type=a&tl_id=1-A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Apr 20 2016 08:13:38 GMT-0400 (EDT),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Production (annual),,,,,,,,,,,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary Energy,Quad Btu,21.63,22.5,22.663,22.734,22.823,24.002,24.612,26.025,26.247,26.647,27.659,27.882,28.053,29.934,31.866,34.336,34.829,35.675,36.685,35.97,37.066,33.847,36.096,33.942,
,Biofuels,1000 bbl/d,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.4,0.9,0.7,0.6,,
,Fuel Ethanol,1000 bbl/d,0.8,0.8,0.8,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.4,0.8,0.6,0.6,,
,Biodiesel,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,0.1,0.1,,,
,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,1000 ST,201057,205516,201457,215869,223828,234976,234476,249226,252685,253896,254048,253252,249561,269220,274259,276262,275770,278580,282794,280999,288879,284618,295930,295864,
,Anthracite,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,3198,
,Metallurgical Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,5638,
