"International_data"
"http://www.eia.gov/beta/international/data/browser/#?ord=CR&cy=2014&v=H&vo=0&so=0&io=0&start=1993&end=2014&vs=INTL.3-1-AFG-BCF.A~INTL.3-1-ALB-BCF.A~INTL.3-1-DZA-BCF.A~INTL.3-1-ASM-BCF.A~INTL.3-1-AGO-BCF.A~INTL.3-1-ATA-BCF.A~INTL.3-1-ATG-BCF.A~INTL.3-1-ARG-BCF.A~INTL.3-1-ARM-BCF.A~INTL.3-1-ABW-BCF.A~INTL.3-1-AUS-BCF.A~INTL.3-1-AUT-BCF.A~INTL.3-1-AZE-BCF.A~INTL.3-1-BHS-BCF.A~INTL.3-1-BHR-BCF.A~INTL.3-1-BGD-BCF.A~INTL.3-1-BRB-BCF.A~INTL.3-1-BLR-BCF.A~INTL.3-1-BEL-BCF.A~INTL.3-1-BLZ-BCF.A~INTL.3-1-BEN-BCF.A~INTL.3-1-BMU-BCF.A~INTL.3-1-BTN-BCF.A~INTL.3-1-BOL-BCF.A~INTL.3-1-BIH-BCF.A~INTL.3-1-BWA-BCF.A~INTL.3-1-BRA-BCF.A~INTL.3-1-BRN-BCF.A~INTL.3-1-BGR-BCF.A~INTL.3-1-BFA-BCF.A~INTL.3-1-MMR-BCF.A~INTL.3-1-BDI-BCF.A~INTL.3-1-KHM-BCF.A~INTL.3-1-CMR-BCF.A~INTL.3-1-CAN-BCF.A~INTL.3-1-CPV-BCF.A~INTL.3-1-CYM-BCF.A~INTL.3-1-CAF-BCF.A~INTL.3-1-TCD-BCF.A~INTL.3-1-CHL-BCF.A~INTL.3-1-CHN-BCF.A~INTL.3-1-COL-BCF.A~INTL.3-1-COM-BCF.A~INTL.3-1-COG-BCF.A~INTL.3-1-COD-BCF.A~INTL.3-1-COK-BCF.A~INTL.3-1-CRI-BCF.A~INTL.3-1-CIV-BCF.A~INTL.3-1-HRV-BCF.A~INTL.3-1-CUB-BCF.A~INTL.3-1-CYP-BCF.A~INTL.3-1-CZE-BCF.A~INTL.3-1-DNK-BCF.A~INTL.3-1-DJI-BCF.A~INTL.3-1-DMA-BCF.A~INTL.3-1-DOM-BCF.A~INTL.3-1-ECU-BCF.A~INTL.3-1-EGY-BCF.A~INTL.3-1-SLV-BCF.A~INTL.3-1-GNQ-BCF.A~INTL.3-1-ERI-BCF.A~INTL.3-1-EST-BCF.A~INTL.3-1-ETH-BCF.A~INTL.3-1-FLK-BCF.A~INTL.3-1-FRO-BCF.A~INTL.3-1-FJI-BCF.A~INTL.3-1-FIN-BCF.A~INTL.3-1-CSK-BCF.A~INTL.3-1-SCG-BCF.A~INTL.3-1-SUN-BCF.A~INTL.3-1-YUG-BCF.A~INTL.3-1-FRA-BCF.A~INTL.3-1-GUF-BCF.A~INTL.3-1-PYF-BCF.A~INTL.3-1-GAB-BCF.A~INTL.3-1-GMB-BCF.A~INTL.3-1-GEO-BCF.A~INTL.3-1-DEU-BCF.A~INTL.3-1-DDR-BCF.A~INTL.3-1-DEUW-BCF.A~INTL.3-1-GHA-BCF.A~INTL.3-1-GIB-BCF.A~INTL.3-1-GRC-BCF.A~INTL.3-1-GRL-BCF.A~INTL.3-1-GRD-BCF.A~INTL.3-1-GLP-BCF.A~INTL.3-1-GUM-BCF.A~INTL.3-1-GTM-BCF.A~INTL.3-1-GIN-BCF.A~INTL.3-1-GNB-BCF.A~INTL.3-1-GUY-BCF.A~INTL.3-1-HTI-BCF.A~INTL.3-1-HITZ-BCF.A~INTL.3-1-HND-BCF.A~INTL.3-1-HKG-BCF.A~INTL.3-1-HUN-BCF.A~INTL.3-1-ISL-BCF.A~INTL.3-1-IND-BCF.A~INTL.3-1-IDN-BCF.A~INTL.3-1-IRN-BCF.A~INTL.3-1-IRQ-BCF.A~INTL.3-1-IRL-BCF.A~INTL.3-1-ISR-BCF.A~INTL.3-1-ITA-BCF.A~INTL.3-1-JAM-BCF.A~INTL.3-1-JPN-BCF.A~INTL.3-1-JOR-BCF.A~INTL.3-1-KAZ-BCF.A~INTL.3-1-KEN-BCF.A~INTL.3-1-KIR-BCF.A~INTL.3-1-PRK-BCF.A~INTL.3-1-KOR-BCF.A~INTL.3-1-UNK-BCF.A~INTL.3-1-KWT-BCF.A~INTL.3-1-KGZ-BCF.A~INTL.3-1-LAO-BCF.A~INTL.3-1-LVA-BCF.A~INTL.3-1-LBN-BCF.A~INTL.3-1-LSO-BCF.A~INTL.3-1-LBR-BCF.A~INTL.3-1-LBY-BCF.A~INTL.3-1-LTU-BCF.A~INTL.3-1-LUX-BCF.A~INTL.3-1-MAC-BCF.A~INTL.3-1-MKD-BCF.A~INTL.3-1-MDG-BCF.A~INTL.3-1-MWI-BCF.A~INTL.3-1-MYS-BCF.A~INTL.3-1-MDV-BCF.A~INTL.3-1-MLI-BCF.A~INTL.3-1-MLT-BCF.A~INTL.3-1-MTQ-BCF.A~INTL.3-1-MRT-BCF.A~INTL.3-1-MUS-BCF.A~INTL.3-1-MEX-BCF.A~INTL.3-1-FSM-BCF.A~INTL.3-1-MDA-BCF.A~INTL.3-1-MNG-BCF.A~INTL.3-1-MNE-BCF.A~INTL.3-1-MSR-BCF.A~INTL.3-1-MAR-BCF.A~INTL.3-1-MOZ-BCF.A~INTL.3-1-NAM-BCF.A~INTL.3-1-NRU-BCF.A~INTL.3-1-NPL-BCF.A~INTL.3-1-NLD-BCF.A~INTL.3-1-NLDA-BCF.A~INTL.3-1-NCL-BCF.A~INTL.3-1-NZL-BCF.A~INTL.3-1-NIC-BCF.A~INTL.3-1-NER-BCF.A~INTL.3-1-NGA-BCF.A~INTL.3-1-NIU-BCF.A~INTL.3-1-MNP-BCF.A~INTL.3-1-NOR-BCF.A~INTL.3-1-OMN-BCF.A~INTL.3-1-PAK-BCF.A~INTL.3-1-PSE-BCF.A~INTL.3-1-PAN-BCF.A~INTL.3-1-PNG-BCF.A~INTL.3-1-PRY-BCF.A~INTL.3-1-PER-BCF.A~INTL.3-1-PHL-BCF.A~INTL.3-1-POL-BCF.A~INTL.3-1-PRT-BCF.A~INTL.3-1-PRI-BCF.A~INTL.3-1-QAT-BCF.A~INTL.3-1-REU-BCF.A~INTL.3-1-ROU-BCF.A~INTL.3-1-RUS-BCF.A~INTL.3-1-RWA-BCF.A~INTL.3-1-SHN-BCF.A~INTL.3-1-KNA-BCF.A~INTL.3-1-LCA-BCF.A~INTL.3-1-SPM-BCF.A~INTL.3-1-VCT-BCF.A~INTL.3-1-WSM-BCF.A~INTL.3-1-STP-BCF.A~INTL.3-1-SAU-BCF.A~INTL.3-1-SEN-BCF.A~INTL.3-1-SRB-BCF.A~INTL.3-1-SYC-BCF.A~INTL.3-1-SLE-BCF.A~INTL.3-1-SGP-BCF.A~INTL.3-1-SVK-BCF.A~INTL.3-1-SVN-BCF.A~INTL.3-1-SLB-BCF.A~INTL.3-1-SOM-BCF.A~INTL.3-1-ZAF-BCF.A~INTL.3-1-ESP-BCF.A~INTL.3-1-LKA-BCF.A~INTL.3-1-SDN-BCF.A~INTL.3-1-SUR-BCF.A~INTL.3-1-SWZ-BCF.A~INTL.3-1-SWE-BCF.A~INTL.3-1-CHE-BCF.A~INTL.3-1-SYR-BCF.A~INTL.3-1-TWN-BCF.A~INTL.3-1-TJK-BCF.A~INTL.3-1-TZA-BCF.A~INTL.3-1-THA-BCF.A~INTL.3-1-TLS-BCF.A~INTL.3-1-TGO-BCF.A~INTL.3-1-TON-BCF.A~INTL.3-1-TTO-BCF.A~INTL.3-1-TUN-BCF.A~INTL.3-1-TUR-BCF.A~INTL.3-1-TKM-BCF.A~INTL.3-1-TCA-BCF.A~INTL.3-1-TUV-BCF.A~INTL.3-1-USIQ-BCF.A~INTL.3-1-USOH-BCF.A~INTL.3-1-UGA-BCF.A~INTL.3-1-UKR-BCF.A~INTL.3-1-ARE-BCF.A~INTL.3-1-GBR-BCF.A~INTL.3-1-USA-BCF.A~INTL.3-1-URY-BCF.A~INTL.3-1-UZB-BCF.A~INTL.3-1-VUT-BCF.A~INTL.3-1-VEN-BCF.A~INTL.3-1-VNM-BCF.A~INTL.3-1-VIR-BCF.A~INTL.3-1-VGB-BCF.A~INTL.3-1-WAK-BCF.A~INTL.3-1-ESH-BCF.A~INTL.3-1-YEM-BCF.A~INTL.3-1-ZMB-BCF.A~INTL.3-1-ZWE-BCF.A&c=ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvuvo&pa=g000000g&f=A&ug=g&ct=0&tl_type=p&tl_id=3002-A&s="
"Wed Apr 20 2016 17:21:05 GMT-0400 (EDT)"
"Source: U.S. Energy Information Administration"
,,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"","Natural Gas","Bcf"
"","Afghanistan",""
"","Production",""
"","Gross Natural Gas","Bcf",11,11,7.1,8.1,8.1,8.1,8.1,8.1,1.8,1.8,0.7,0.7,0.7,0.7,1.4,1.8,1.1,4.9,4.9,,,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",11,11,7.1,8.1,8.1,8.1,8.1,8.1,1.8,1.8,0.7,0.7,0.7,0.7,1.4,1.8,1.1,4.9,4.9,,,
"","Albania",""
"","Production",""
"","Gross Natural Gas","Bcf",3.2,2.5,1.8,1.8,1.4,1.8,1.4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.1,1.8,1.8,1.1,0.7,0.6,0.7,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",1.1,1.1,1.1,1.1,0.7,1.1,0.7,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.4,1.1,1.1,0.4,0.4,0.6,0.7,
"","Algeria",""
"","Production",""
"","Gross Natural Gas","Bcf",4723,4701,4864,4903,5259,5299,5347,5757,5668,5672,5820,6078,6579,6837,6999,7105,6954,6788,6714,6448,6339,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",655,690,742,762,712,736,753,726,722,721,725,681,846,904,934,977,1016,1024,1161,1282,1294,
"","American Samoa",""
"","Production",""
"","Gross Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Angola",""
"","Production",""
"","Gross Natural Gas","Bcf",106,99,184,205,220,233,258,254,251,297,244,275,305,332,382,355,357,364,379,383,380,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",20,18,20,20,20,20,20,20,19,22,23,26,23,24,29,24,24,26,27,27,17,
"","Antarctica",""
"","Production",""
"","Gross Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Antigua and Barbuda",""
"","Production",""
"","Gross Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Argentina",""
"","Production",""
"","Gross Natural Gas","Bcf",940,970,1076,1224,1309,1364,1498,1585,1621,1616,1783,1849,1822,1827,1801,1783,1709,1663,1608,1557,1519,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",833,856,953,1010,1008,1077,1143,1173,1103,1069,1221,1339,1428,1475,1551,1568,1523,1529,1629,1633,1695,
"","Armenia",""
"","Production",""
"","Gross Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",49,64,57,64,46,49,46,50,49,38,47,47,60,60,73,68,55,61,73,87,85,
"","Aruba",""
"","Production",""
"","Gross Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Australia",""
"","Production",""
"","Gross Natural Gas","Bcf",871,938,1039,1075,1065,1105,1130,1170,1193,1243,1283,1317,1272,1330,1404,1444,1500,1868,2000,1917,2189,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",630,661,710,719,718,752,759,797,841,888,917,985,1014,1019,1132,1153,1212,1207,1282,1291,1343,
"","Austria",""
"","Production",""
"","Gross Natural Gas","Bcf",53,48,52,53,50,55,61,64,61,66,74,69,61,68,69,57,62,64,63,67,48,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",235,242,262,281,271,279,285,272,288,291,315,311,354,332,313,331,323,353,335,319,301,
"","Azerbaijan",""
"","Production",""
"","Gross Natural Gas","Bcf",565,516,507,510,470,461,506,487,489,461,326,322,372,340,712,946,936,1050,990,,,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",385,331,317,328,323,197,212,210,320,320,325,351,367,399,328,424,376,359,336,373,373,
"","Bahamas, The",""
"","Production",""
"","Gross Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Bahrain",""
"","Production",""
"","Gross Natural Gas","Bcf",346,339,339,347,375,390,406,412,426,436,434,438,470,488,507,541,547,551,547,590,680,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",234,229,229,232,281,293,297,303,314,334,340,344,378,400,416,438,441,451,446,470,554,
"","Bangladesh",""
"","Production",""
"","Gross Natural Gas","Bcf",216,235,260,267,269,290,320,343,364,392,429,463,494,541,575,632,692,703,710,,807,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",216,235,260,267,269,290,320,343,364,392,429,463,494,541,575,632,692,703,710,778,807,
"","Barbados",""
"","Production",""
"","Gross Natural Gas","Bcf",1.1,0.8,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1.1,0.7,0.7,0.7,0.7,0.7,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",1.1,0.8,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1.1,0.7,0.7,0.7,0.7,0.7,
"","Belarus",""
"","Production",""
"","Gross Natural Gas","Bcf",10,10,11,11,7.1,7.8,7.4,7.1,7.1,6.7,5.7,6.4,6.1,15,14,14,14,14,14,7.3,7.4,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",586,498,452,494,533,545,608,692,636,598,634,579,717,741,733,751,627,771,750,739,787,
"","Belgium",""
"","Production",""
"","Gross Natural Gas","Bcf",0.1,(s),,(s),,,,(s),,,,,,,,,,,,,,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",392,401,443,493,470,518,551,554,547,564,600,612,601,619,624,619,625,700,626,631,635,
"","Belize",""
"","Production",""
"","Gross Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Benin",""
"","Production",""
"","Gross Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Bermuda",""
"","Production",""
"","Gross Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Bhutan",""
"","Production",""
"","Gross Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Bolivia",""
"","Production",""
"","Gross Natural Gas","Bcf",197,209,189,186,189,190,176,198,253,314,361,447,519,517,537,541,474,526,571,673,762,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",30,35,43,37,47,31,32,44,29,36,79,76,75,85,89,101,100,96,87,131,113,
"","Bosnia and Herzegovina",""
"","Production",""
"","Gross Natural Gas","Bcf",,,32,,,,,,,,,,,,,,,,,,,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",14,15,87,4.9,4.9,7.1,7.1,11,11,5.7,5.7,11,14,14,11,11,7.4,8.1,9.9,8.5,8.5,
"","Botswana",""
"","Production",""
"","Gross Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Brazil",""
"","Production",""
"","Gross Natural Gas","Bcf",260,274,281,323,348,381,420,469,494,548,558,599,625,625,641,762,746,810,850,911,1067,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",146,152,159,178,195,205,231,333,396,473,499,608,657,683,701,835,661,890,885,1071,1356,
"","Brunei",""
"","Production",""
"","Gross Natural Gas","Bcf",352,358,395,392,391,380,401,416,434,454,473,474,474,505,503,501,427,440,471,451,,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",29,25,34,28,31,27,37,39,48,59,61,71,83,141,145,148,88,105,107,104,105,
"","Bulgaria",""
"","Production",""
"","Gross Natural Gas","Bcf",2.5,2.1,1.8,1.4,1.4,1.1,0.7,2.1,0.1,(s),(s),(s),,,11,3.9,0.4,1.8,15,2.8,9.8,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",172,168,208,219,182,135,119,193,205,173,191,187,191,198,118,113,73,90,103,108,105,
"","Burkina Faso",""
"","Production",""
"","Gross Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Burma (Myanmar)",""
"","Production",""
"","Gross Natural Gas","Bcf",39,51,58,57,53,62,68,124,258,311,364,385,486,468,499,459,424,439,451,,489,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",39,51,58,57,53,62,58,66,69,78,89,94,146,128,145,136,115,114,118,125,162,
"","Burundi",""
"","Production",""
"","Gross Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Consumption",""
"","Gross Natural Gas",""
"","Marketed Natural Gas",""
"","Dry Natural Gas","Bcf",,,,,,,,,,,,,,,,,,,,,,
"","Cambodia",""
"","Production",""
