,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Petroleum (annual),1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,11,11,9.9,9.6,9.3,6.4,5.6,5.7,6,6.3,6.7,6.7,7,7.8,6.5,6,5.4,11,16,17,17
Algeria,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,1312,1296,1307,1376,1417,1402,1389,1433,1514,1618,1784,1845,1957,1967,1968,1954,1910,1881,1863,1875,1763
American Samoa,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,508,535,645,708,713,735,745,746,742,896,902,1054,1249,1420,1748,1955,1876,1908,1755,1786,1842
Antarctica,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,647,713,774,821,905,917,870,832,876,866,866,825,797,802,781,801,802,789,763,723,707
Armenia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,(s),,,,,,,,,,,,,,,,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,(s),,,,,,,2.4,2.4,2.4,2.4,2.4,2.4,2.2,2.5,2.5,2.8,2.8,2.8,2.8,2.8
Australia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,590,625,647,667,695,649,647,828,768,744,630,557,573,553,587,588,592,604,531,518,446
Austria,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,26,26,28,27,24,26,23,25,25,27,26,26,25,27,28,28,28,29,31,29,25
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,206,191,181,180,180,237,284,289,309,315,325,318,440,647,849,878,1016,1045,993,932,880
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,1000 bbl/d,,,,,,,,,,,,,,,,,,,,,
